MatchID,Season,MatchWeek,Date,Time,HomeTeam,AwayTeam,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals,FullTimeResult,HalfTimeHomeTeamGoals,HalfTimeAwayTeamGoals,HalfTimeResult,Referee,HomeTeamShots,AwayTeamShots,HomeTeamShotsOnTarget,AwayTeamShotsOnTarget,HomeTeamCorners,AwayTeamCorners,HomeTeamFouls,AwayTeamFouls,HomeTeamYellowCards,AwayTeamYellowCards,HomeTeamRedCards,AwayTeamRedCards,B365HomeTeam,B365Draw,B365AwayTeam,B365Over2.5Goals,B365Under2.5Goals,MarketMaxHomeTeam,MarketMaxDraw,MarketMaxAwayTeam,MarketAvgHomeTeam,MarketAvgDraw,MarketAvgAwayTeam,MarketMaxOver2.5Goals,MarketMaxUnder2.5Goals,MarketAvgOver2.5Goals,MarketAvgUnder2.5Goals,HomeTeamPoints,AwayTeamPoints
2019-2020_Everton_Arsenal,2019-2020,18,2019-12-21,12:30,Everton,Arsenal,0,0,D,0.0,0.0,D,K Friend,9.0,6.0,0.0,2.0,5.0,4.0,10.0,11.0,2.0,3.0,0.0,0.0,2.3,3.8,2.87,1.57,2.37,2.4,3.88,3.0,2.33,3.75,2.9,1.61,2.55,1.57,2.4,1,1
2019-2020_Bournemouth_Arsenal,2019-2020,19,2019-12-26,15:00,Bournemouth,Arsenal,1,1,D,1.0,0.0,H,S Attwell,12.0,17.0,4.0,2.0,8.0,3.0,5.0,13.0,4.0,4.0,0.0,0.0,3.5,3.9,1.95,1.57,2.37,3.65,4.0,2.08,3.5,3.85,2.01,1.59,2.55,1.55,2.43,1,1
2019-2020_Arsenal_Chelsea,2019-2020,20,2019-12-29,14:00,Arsenal,Chelsea,1,2,A,1.0,0.0,H,C Pawson,7.0,13.0,2.0,4.0,2.0,3.0,13.0,19.0,5.0,4.0,0.0,0.0,2.87,3.75,2.3,1.53,2.5,3.0,3.86,2.45,2.86,3.73,2.35,1.59,2.63,1.53,2.48,0,3
2019-2020_Arsenal_Man United,2019-2020,21,2020-01-01,20:00,Arsenal,Man United,2,0,H,2.0,0.0,H,C Kavanagh,10.0,10.0,4.0,4.0,1.0,4.0,11.0,15.0,2.0,0.0,0.0,0.0,2.55,3.6,2.62,1.66,2.2,2.65,3.8,2.7,2.58,3.64,2.61,1.69,2.35,1.64,2.26,3,0
2019-2020_Crystal Palace_Arsenal,2019-2020,22,2020-01-11,12:30,Crystal Palace,Arsenal,1,1,D,0.0,1.0,A,P Tierney,6.0,7.0,3.0,4.0,1.0,4.0,14.0,22.0,2.0,3.0,0.0,1.0,4.1,3.9,1.8,1.8,2.0,4.45,4.1,1.9,4.19,3.87,1.83,1.88,2.12,1.8,2.03,1,1
2019-2020_Arsenal_Sheffield United,2019-2020,23,2020-01-18,15:00,Arsenal,Sheffield United,1,1,D,1.0,0.0,H,M Dean,11.0,12.0,4.0,4.0,4.0,5.0,9.0,13.0,1.0,2.0,0.0,0.0,1.83,3.6,4.33,2.0,1.8,1.9,3.72,4.7,1.85,3.61,4.46,2.09,1.97,1.99,1.83,1,1
2019-2020_Chelsea_Arsenal,2019-2020,24,2020-01-21,20:15,Chelsea,Arsenal,2,2,D,1.0,0.0,H,S Attwell,19.0,2.0,8.0,2.0,17.0,5.0,11.0,6.0,2.0,1.0,0.0,1.0,1.72,3.9,4.5,1.72,2.1,1.79,4.1,5.2,1.74,3.95,4.71,1.73,2.29,1.68,2.2,1,1
2019-2020_Burnley_Arsenal,2019-2020,25,2020-02-02,14:00,Burnley,Arsenal,0,0,D,0.0,0.0,D,C Kavanagh,15.0,13.0,2.0,2.0,5.0,7.0,8.0,11.0,1.0,3.0,0.0,0.0,3.6,3.6,2.0,1.9,1.9,3.95,3.65,2.1,3.75,3.53,2.02,1.94,2.0,1.9,1.91,1,1
2019-2020_Arsenal_Newcastle,2019-2020,26,2020-02-16,16:30,Arsenal,Newcastle,4,0,H,0.0,0.0,D,L Mason,15.0,10.0,7.0,2.0,5.0,6.0,15.0,9.0,2.0,0.0,0.0,0.0,1.4,4.75,8.0,1.72,2.1,1.47,4.98,8.75,1.43,4.6,7.72,1.81,2.26,1.72,2.13,3,0
2019-2020_Arsenal_Everton,2019-2020,27,2020-02-23,16:30,Arsenal,Everton,3,2,H,2.0,2.0,D,S Attwell,9.0,17.0,4.0,5.0,6.0,3.0,12.0,12.0,0.0,4.0,0.0,0.0,2.0,3.6,3.7,1.72,2.1,2.12,3.8,3.88,2.04,3.6,3.63,1.77,2.19,1.73,2.11,3,0
2019-2020_Arsenal_West Ham,2019-2020,29,2020-03-07,15:00,Arsenal,West Ham,1,0,H,0.0,0.0,D,M Atkinson,9.0,14.0,2.0,6.0,6.0,7.0,11.0,9.0,1.0,2.0,0.0,0.0,1.57,4.4,5.5,1.57,2.37,1.62,4.5,6.21,1.56,4.37,5.78,1.66,2.45,1.6,2.35,3,0
2019-2020_Man City_Arsenal,2019-2020,30,2020-06-17,20:15,Man City,Arsenal,3,0,H,1.0,0.0,H,A Taylor,20.0,3.0,12.0,0.0,5.0,2.0,9.0,7.0,1.0,1.0,0.0,1.0,1.36,5.25,7.5,1.36,3.2,1.4,6.05,9.0,1.35,5.5,8.11,1.42,3.23,1.38,3.04,3,0
2019-2020_Brighton_Arsenal,2019-2020,30,2020-06-20,15:00,Brighton,Arsenal,2,1,H,0.0,0.0,D,M Atkinson,9.0,13.0,5.0,6.0,10.0,7.0,13.0,8.0,2.0,1.0,0.0,0.0,3.1,3.25,2.37,1.9,1.9,3.4,3.52,2.52,3.04,3.37,2.39,2.01,2.0,1.93,1.89,3,0
2019-2020_Southampton_Arsenal,2019-2020,31,2020-06-25,18:00,Southampton,Arsenal,0,2,A,0.0,1.0,A,G Scott,12.0,10.0,3.0,5.0,4.0,6.0,10.0,14.0,0.0,2.0,1.0,0.0,2.6,3.5,2.62,1.8,2.0,2.75,3.65,2.8,2.64,3.47,2.65,1.87,2.13,1.8,2.03,0,3
2019-2020_Arsenal_Norwich,2019-2020,32,2020-07-01,18:00,Arsenal,Norwich,4,0,H,2.0,0.0,H,P Bankes,13.0,8.0,8.0,2.0,6.0,2.0,10.0,10.0,1.0,4.0,0.0,0.0,1.44,4.75,7.0,1.72,2.1,1.48,4.9,8.2,1.44,4.69,7.23,1.77,2.28,1.7,2.18,3,0
2019-2020_Wolves_Arsenal,2019-2020,33,2020-07-04,17:30,Wolves,Arsenal,0,2,A,0.0,1.0,A,M Oliver,10.0,8.0,1.0,5.0,3.0,5.0,6.0,11.0,2.0,4.0,0.0,0.0,2.25,3.4,3.25,2.1,1.72,2.36,3.48,3.5,2.27,3.3,3.32,2.22,1.83,2.1,1.75,0,3
2019-2020_Arsenal_Leicester,2019-2020,34,2020-07-07,20:15,Arsenal,Leicester,1,1,D,1.0,0.0,H,C Kavanagh,11.0,13.0,7.0,5.0,10.0,1.0,10.0,14.0,1.0,0.0,1.0,0.0,2.3,3.5,3.0,1.9,1.9,2.49,3.59,3.15,2.38,3.43,3.03,1.99,2.05,1.88,1.95,1,1
2019-2020_Tottenham_Arsenal,2019-2020,35,2020-07-12,16:30,Tottenham,Arsenal,2,1,H,1.0,1.0,D,M Oliver,15.0,13.0,9.0,4.0,6.0,5.0,16.0,11.0,5.0,3.0,0.0,0.0,2.62,3.4,2.7,1.8,2.0,2.75,4.48,2.83,2.6,3.48,2.68,1.9,3.22,1.77,2.08,3,0
2019-2020_Arsenal_Liverpool,2019-2020,36,2020-07-15,20:15,Arsenal,Liverpool,2,1,H,2.0,1.0,H,P Tierney,3.0,24.0,2.0,8.0,2.0,13.0,14.0,10.0,3.0,1.0,0.0,0.0,3.8,3.8,1.9,1.57,2.37,4.1,4.05,1.95,3.89,3.89,1.89,1.65,2.52,1.58,2.41,3,0
2019-2020_Aston Villa_Arsenal,2019-2020,37,2020-07-21,20:15,Aston Villa,Arsenal,1,0,H,1.0,0.0,H,C Kavanagh,8.0,7.0,3.0,0.0,8.0,9.0,13.0,19.0,2.0,4.0,0.0,0.0,3.3,3.6,2.1,1.66,2.2,3.4,3.98,2.2,3.24,3.78,2.11,1.74,2.37,1.66,2.25,3,0
2019-2020_Arsenal_Watford,2019-2020,38,2020-07-26,16:00,Arsenal,Watford,3,2,H,3.0,1.0,H,M Dean,13.0,19.0,5.0,6.0,4.0,8.0,9.0,12.0,3.0,3.0,0.0,0.0,1.9,3.8,3.8,1.61,2.3,2.05,4.05,4.0,1.93,3.89,3.72,1.66,2.5,1.61,2.34,3,0
2020-2021_Fulham_Arsenal,2020-2021,1,2020-09-12,12:30,Fulham,Arsenal,0,3,A,0.0,1.0,A,C Kavanagh,5.0,13.0,2.0,6.0,2.0,3.0,12.0,12.0,2.0,2.0,0.0,0.0,6.0,4.33,1.53,1.72,2.1,6.55,4.55,1.6,5.94,4.34,1.55,1.84,2.18,1.76,2.1,0,3
2020-2021_Arsenal_West Ham,2020-2021,2,2020-09-19,20:00,Arsenal,West Ham,2,1,H,1.0,1.0,D,M Oliver,7.0,14.0,3.0,3.0,7.0,5.0,11.0,13.0,0.0,1.0,0.0,0.0,1.53,4.5,5.5,1.66,2.2,1.57,4.75,6.55,1.53,4.51,5.91,1.7,2.41,1.64,2.3,3,0
2020-2021_Liverpool_Arsenal,2020-2021,3,2020-09-28,20:00,Liverpool,Arsenal,3,1,H,2.0,1.0,H,C Pawson,21.0,4.0,8.0,3.0,7.0,3.0,11.0,7.0,2.0,2.0,0.0,0.0,1.45,4.75,6.5,1.53,2.5,1.54,5.0,6.95,1.49,4.68,6.3,1.57,2.6,1.54,2.48,3,0
2020-2021_Arsenal_Sheffield United,2020-2021,4,2020-10-04,14:00,Arsenal,Sheffield United,2,1,H,0.0,0.0,D,L Mason,6.0,6.0,5.0,2.0,2.0,4.0,3.0,9.0,0.0,1.0,0.0,0.0,1.57,4.0,6.0,1.9,1.9,1.6,4.3,6.75,1.56,4.09,6.25,2.02,1.98,1.93,1.89,3,0
2020-2021_Man City_Arsenal,2020-2021,5,2020-10-17,17:30,Man City,Arsenal,1,0,H,1.0,0.0,H,C Kavanagh,13.0,11.0,5.0,3.0,6.0,6.0,15.0,10.0,4.0,1.0,0.0,0.0,1.44,5.0,6.5,1.44,2.75,1.53,5.1,6.55,1.49,4.85,6.09,1.46,2.95,1.43,2.8,3,0
2020-2021_Arsenal_Leicester,2020-2021,6,2020-10-25,19:15,Arsenal,Leicester,0,1,A,0.0,0.0,D,C Pawson,12.0,6.0,4.0,2.0,9.0,3.0,13.0,9.0,3.0,5.0,0.0,0.0,1.9,3.75,3.8,1.72,2.1,1.98,3.9,4.1,1.93,3.74,3.92,1.82,2.2,1.74,2.12,0,3
2020-2021_Man United_Arsenal,2020-2021,7,2020-11-01,16:30,Man United,Arsenal,0,1,A,0.0,0.0,D,M Dean,8.0,7.0,2.0,2.0,6.0,3.0,12.0,12.0,3.0,3.0,0.0,0.0,2.0,3.6,3.6,1.72,2.1,2.1,3.85,3.76,2.04,3.66,3.58,1.81,2.22,1.74,2.12,0,3
2020-2021_Arsenal_Aston Villa,2020-2021,8,2020-11-08,19:15,Arsenal,Aston Villa,0,3,A,0.0,1.0,A,M Atkinson,13.0,15.0,2.0,6.0,3.0,8.0,11.0,13.0,0.0,0.0,0.0,0.0,1.65,4.1,5.0,1.66,2.2,1.75,4.2,5.27,1.7,3.97,4.92,1.74,2.34,1.68,2.22,0,3
2020-2021_Leeds_Arsenal,2020-2021,9,2020-11-22,16:30,Leeds,Arsenal,0,0,D,0.0,0.0,D,A Taylor,25.0,9.0,4.0,2.0,5.0,3.0,9.0,8.0,3.0,0.0,0.0,1.0,3.0,3.75,2.2,1.66,2.2,3.28,3.84,2.3,3.13,3.7,2.21,1.72,2.38,1.66,2.24,1,1
2020-2021_Arsenal_Wolves,2020-2021,10,2020-11-29,19:15,Arsenal,Wolves,1,2,A,1.0,2.0,A,M Oliver,13.0,11.0,2.0,5.0,8.0,4.0,13.0,13.0,3.0,4.0,0.0,0.0,2.05,3.4,3.75,2.3,1.61,2.22,3.45,3.81,2.13,3.28,3.72,2.44,1.73,2.31,1.62,0,3
2020-2021_Tottenham_Arsenal,2020-2021,11,2020-12-06,16:30,Tottenham,Arsenal,2,0,H,2.0,0.0,H,M Atkinson,6.0,11.0,3.0,2.0,3.0,9.0,16.0,12.0,1.0,2.0,0.0,0.0,1.95,3.6,3.8,1.9,1.9,2.1,3.7,4.0,2.01,3.54,3.79,1.99,2.0,1.92,1.9,3,0
2020-2021_Arsenal_Burnley,2020-2021,12,2020-12-13,19:15,Arsenal,Burnley,0,1,A,0.0,0.0,D,G Scott,18.0,10.0,6.0,2.0,13.0,4.0,5.0,11.0,2.0,1.0,1.0,0.0,1.53,4.2,6.25,1.9,1.9,1.58,4.48,7.0,1.54,4.22,6.42,1.97,1.98,1.9,1.92,0,3
2020-2021_Arsenal_Southampton,2020-2021,13,2020-12-16,18:00,Arsenal,Southampton,1,1,D,0.0,1.0,A,P Tierney,9.0,13.0,4.0,3.0,2.0,7.0,13.0,13.0,1.0,3.0,1.0,0.0,2.25,3.5,3.1,1.8,2.0,2.33,3.68,3.32,2.25,3.47,3.19,1.86,2.1,1.8,2.03,1,1
2020-2021_Everton_Arsenal,2020-2021,14,2020-12-19,17:30,Everton,Arsenal,2,1,H,2.0,1.0,H,A Marriner,9.0,13.0,2.0,2.0,4.0,3.0,9.0,9.0,1.0,3.0,0.0,0.0,2.45,3.5,2.8,1.8,2.0,2.53,3.6,3.1,2.42,3.44,2.93,1.91,2.05,1.84,1.98,3,0
2020-2021_Arsenal_Chelsea,2020-2021,15,2020-12-26,17:30,Arsenal,Chelsea,3,1,H,2.0,0.0,H,M Oliver,15.0,19.0,7.0,3.0,7.0,9.0,13.0,10.0,2.0,1.0,0.0,0.0,4.0,3.6,1.9,1.95,1.95,4.45,3.75,2.02,4.06,3.59,1.93,1.99,2.0,1.91,1.91,3,0
2020-2021_Brighton_Arsenal,2020-2021,16,2020-12-29,18:00,Brighton,Arsenal,0,1,A,0.0,0.0,D,M Atkinson,13.0,11.0,2.0,3.0,5.0,4.0,11.0,4.0,2.0,0.0,0.0,0.0,3.25,3.5,2.2,2.0,1.8,3.35,3.52,2.39,3.22,3.38,2.29,2.13,1.85,2.04,1.79,0,3
2020-2021_West Brom_Arsenal,2020-2021,17,2021-01-02,20:00,West Brom,Arsenal,0,4,A,0.0,2.0,A,M Atkinson,7.0,21.0,3.0,12.0,3.0,5.0,7.0,4.0,1.0,2.0,0.0,0.0,5.75,4.0,1.57,1.9,1.9,6.5,4.2,1.66,5.78,4.01,1.61,1.93,2.09,1.84,1.98,0,3
2020-2021_Arsenal_Crystal Palace,2020-2021,18,2021-01-14,20:00,Arsenal,Crystal Palace,0,0,D,0.0,0.0,D,A Marriner,11.0,12.0,4.0,2.0,7.0,3.0,10.0,11.0,1.0,1.0,0.0,0.0,1.53,4.0,6.5,1.9,1.9,1.61,4.25,7.0,1.55,4.1,6.37,1.92,2.05,1.87,1.95,1,1
2020-2021_Arsenal_Newcastle,2020-2021,19,2021-01-18,20:00,Arsenal,Newcastle,3,0,H,0.0,0.0,D,D Coote,20.0,4.0,6.0,1.0,7.0,2.0,9.0,8.0,0.0,0.0,0.0,0.0,1.4,4.5,8.0,1.8,2.0,1.47,4.85,8.2,1.44,4.61,7.54,1.84,2.13,1.79,2.05,3,0
2020-2021_Southampton_Arsenal,2020-2021,20,2021-01-26,20:15,Southampton,Arsenal,1,3,A,1.0,2.0,A,K Friend,13.0,9.0,5.0,5.0,4.0,5.0,11.0,6.0,1.0,2.0,0.0,0.0,3.5,3.6,2.05,1.8,2.0,3.62,3.73,2.18,3.49,3.6,2.09,1.94,2.14,1.78,2.05,0,3
2020-2021_Arsenal_Man United,2020-2021,21,2021-01-30,17:30,Arsenal,Man United,0,0,D,0.0,0.0,D,M Oliver,17.0,14.0,3.0,3.0,4.0,7.0,9.0,16.0,1.0,3.0,0.0,0.0,2.8,3.5,2.45,1.8,2.0,2.98,3.65,2.62,2.86,3.4,2.51,1.93,2.09,1.82,2.01,1,1
2020-2021_Wolves_Arsenal,2020-2021,22,2021-02-02,18:00,Wolves,Arsenal,2,1,H,1.0,1.0,D,C Pawson,11.0,9.0,7.0,3.0,9.0,6.0,11.0,8.0,3.0,2.0,0.0,2.0,3.6,3.3,2.1,2.3,1.61,3.75,3.46,2.22,3.63,3.29,2.17,2.36,1.71,2.27,1.64,3,0
2020-2021_Aston Villa_Arsenal,2020-2021,23,2021-02-06,12:30,Aston Villa,Arsenal,1,0,H,1.0,0.0,H,C Kavanagh,12.0,14.0,8.0,3.0,3.0,7.0,12.0,12.0,3.0,2.0,0.0,0.0,2.62,3.5,2.6,1.66,2.2,2.87,3.66,2.65,2.74,3.47,2.56,1.75,2.26,1.69,2.19,3,0
2020-2021_Arsenal_Leeds,2020-2021,24,2021-02-14,16:30,Arsenal,Leeds,4,2,H,3.0,0.0,H,S Attwell,13.0,9.0,5.0,5.0,4.0,5.0,8.0,17.0,0.0,2.0,0.0,0.0,1.83,3.8,4.0,1.57,2.37,1.96,3.92,4.11,1.89,3.77,3.98,1.65,2.46,1.59,2.38,3,0
2020-2021_Arsenal_Man City,2020-2021,25,2021-02-21,16:30,Arsenal,Man City,0,1,A,0.0,1.0,A,J Moss,7.0,15.0,1.0,3.0,1.0,3.0,11.0,9.0,2.0,2.0,0.0,0.0,6.5,4.33,1.5,1.72,2.1,6.9,4.58,1.57,6.27,4.36,1.53,1.86,2.15,1.76,2.08,0,3
2020-2021_Leicester_Arsenal,2020-2021,26,2021-02-28,12:00,Leicester,Arsenal,1,3,A,1.0,2.0,A,P Tierney,8.0,12.0,3.0,4.0,2.0,7.0,15.0,3.0,2.0,1.0,0.0,0.0,2.5,3.4,2.8,2.02,1.88,2.64,3.5,3.08,2.51,3.34,2.89,2.03,2.0,1.97,1.86,0,3
2020-2021_Burnley_Arsenal,2020-2021,27,2021-03-06,12:30,Burnley,Arsenal,1,1,D,1.0,1.0,D,A Marriner,9.0,15.0,5.0,3.0,2.0,4.0,5.0,12.0,1.0,1.0,0.0,0.0,5.5,4.0,1.61,1.97,1.93,5.8,4.12,1.69,5.48,3.94,1.64,2.01,1.96,1.93,1.9,1,1
2020-2021_Arsenal_Tottenham,2020-2021,28,2021-03-14,16:30,Arsenal,Tottenham,2,1,H,1.0,1.0,D,M Oliver,13.0,6.0,3.0,3.0,6.0,3.0,12.0,14.0,1.0,2.0,0.0,1.0,2.55,3.4,2.75,1.9,1.9,2.68,3.58,2.9,2.56,3.34,2.82,1.98,1.97,1.91,1.92,3,0
2020-2021_West Ham_Arsenal,2020-2021,29,2021-03-21,15:00,West Ham,Arsenal,3,3,D,3.0,1.0,H,J Moss,15.0,16.0,5.0,7.0,3.0,5.0,18.0,8.0,3.0,1.0,0.0,0.0,2.8,3.5,2.45,1.9,1.9,2.96,3.6,2.6,2.83,3.43,2.5,2.03,1.93,1.95,1.87,1,1
2020-2021_Arsenal_Liverpool,2020-2021,30,2021-04-03,20:00,Arsenal,Liverpool,0,3,A,0.0,0.0,D,S Attwell,3.0,16.0,2.0,7.0,1.0,2.0,10.0,10.0,1.0,1.0,0.0,0.0,3.1,3.7,2.15,1.72,2.1,3.26,3.7,2.35,3.13,3.56,2.26,1.87,2.14,1.78,2.06,0,3
2020-2021_Sheffield United_Arsenal,2020-2021,31,2021-04-11,19:00,Sheffield United,Arsenal,0,3,A,0.0,1.0,A,P Bankes,7.0,14.0,2.0,5.0,2.0,4.0,9.0,6.0,1.0,1.0,0.0,0.0,6.5,3.75,1.57,2.0,1.8,6.5,4.1,1.63,6.15,3.97,1.59,2.08,1.89,2.01,1.82,0,3
2020-2021_Arsenal_Fulham,2020-2021,32,2021-04-18,13:30,Arsenal,Fulham,1,1,D,0.0,0.0,D,C Pawson,18.0,3.0,5.0,1.0,11.0,1.0,9.0,11.0,0.0,3.0,0.0,0.0,1.7,3.8,4.8,2.0,1.8,1.8,3.85,5.25,1.75,3.72,4.91,2.19,1.85,2.04,1.79,1,1
2020-2021_Arsenal_Everton,2020-2021,33,2021-04-23,20:00,Arsenal,Everton,0,1,A,0.0,0.0,D,J Moss,14.0,8.0,3.0,1.0,7.0,3.0,13.0,10.0,1.0,3.0,0.0,0.0,2.0,3.5,3.75,2.0,1.8,2.13,3.6,3.96,2.06,3.46,3.77,2.1,1.93,2.0,1.84,0,3
2020-2021_Newcastle_Arsenal,2020-2021,34,2021-05-02,14:00,Newcastle,Arsenal,0,2,A,0.0,1.0,A,M Dean,5.0,19.0,1.0,5.0,3.0,7.0,10.0,9.0,2.0,1.0,1.0,0.0,3.6,3.6,2.0,1.72,2.1,3.79,3.74,2.13,3.64,3.57,2.05,1.84,2.13,1.78,2.06,0,3
2020-2021_Arsenal_West Brom,2020-2021,35,2021-05-09,19:00,Arsenal,West Brom,3,1,H,2.0,0.0,H,P Bankes,15.0,12.0,7.0,1.0,6.0,6.0,7.0,9.0,1.0,2.0,0.0,0.0,1.44,4.5,7.0,1.72,2.1,1.54,4.75,7.6,1.47,4.53,7.01,1.83,2.16,1.76,2.09,3,0
2020-2021_Chelsea_Arsenal,2020-2021,35,2021-05-12,20:15,Chelsea,Arsenal,0,1,A,0.0,1.0,A,A Marriner,19.0,5.0,5.0,2.0,9.0,1.0,7.0,6.0,0.0,1.0,0.0,0.0,1.65,4.0,5.0,2.0,1.8,1.81,4.0,5.3,1.73,3.8,5.04,2.1,1.9,2.04,1.8,0,3
2020-2021_Crystal Palace_Arsenal,2020-2021,37,2021-05-19,19:00,Crystal Palace,Arsenal,1,3,A,0.0,1.0,A,A Taylor,12.0,6.0,6.0,3.0,6.0,7.0,7.0,7.0,2.0,1.0,0.0,0.0,6.0,4.5,1.5,1.72,2.1,6.5,4.64,1.58,6.14,4.41,1.53,1.79,2.21,1.74,2.13,0,3
